hamming_loss,subset_accuracy,weighted_f1,macro_f1,micro_f1,n_models,mean_subset_size,dataset,ideal_ratio,seed
0.1732209737827715,0.3426966292134831,0.6898456984966289,0.6905413205389811,0.7095761381475667,18,2.111111111111111,emotions,0.25,0
0.1769662921348314,0.3595505617977528,0.6887137597610227,0.6789853010441246,0.6976,19,1.894736842105263,emotions,0.25,1
0.1666666666666666,0.4044943820224719,0.7115376186031659,0.6997735743222133,0.7183544303797469,13,1.8461538461538465,emotions,0.25,2
0.1779026217228464,0.348314606741573,0.6825777994148751,0.6781311334267186,0.697452229299363,25,2.16,emotions,0.25,3
0.1741573033707865,0.3539325842696629,0.6958836272985024,0.6831188055281304,0.7075471698113207,13,1.8461538461538465,emotions,0.25,4
0.1732209737827715,0.3539325842696629,0.6982099140736697,0.697389082423693,0.7131782945736435,21,2.4285714285714284,emotions,0.3333,0
0.1788389513108614,0.348314606741573,0.6917922011413429,0.6813443816699928,0.7020280811232449,23,2.391304347826087,emotions,0.3333,1
0.1629213483146067,0.3932584269662921,0.709378734445286,0.6953262239129477,0.7184466019417476,22,2.3181818181818183,emotions,0.3333,2
0.1760299625468165,0.3595505617977528,0.6921557853445619,0.6863311060150811,0.7034700315457413,33,2.333333333333333,emotions,0.3333,3
0.1722846441947565,0.3539325842696629,0.7050984852645162,0.6942561793311192,0.7125,20,2.2,emotions,0.3333,4
0.1629213483146067,0.3932584269662921,0.7311802081032851,0.7310024310024309,0.7387387387387387,20,2.85,emotions,0.5,0
0.1788389513108614,0.3426966292134831,0.6842160307539339,0.6734582543806836,0.6992125984251969,31,2.806451612903226,emotions,0.5,1
0.1704119850187266,0.3764044943820224,0.7131337999745205,0.6973326909325599,0.7165109034267912,23,2.782608695652174,emotions,0.5,2
0.1779026217228464,0.3764044943820224,0.6921424498085872,0.687316199309068,0.7021943573667712,31,2.774193548387097,emotions,0.5,3
0.1741573033707865,0.3707865168539326,0.7017246246389631,0.6892594899291536,0.7102803738317757,21,2.9047619047619047,emotions,0.5,4
0.1638576779026217,0.4044943820224719,0.7322950692977381,0.7322217606887972,0.7376311844077961,31,3.193548387096774,emotions,0.6667,0
0.1816479400749063,0.3651685393258427,0.6897728061408009,0.678389642710262,0.7042682926829268,23,3.1739130434782608,emotions,0.6667,1
0.1732209737827715,0.3820224719101123,0.7064258291389137,0.6928020241864322,0.7104851330203443,24,3.125,emotions,0.6667,2
0.1844569288389513,0.348314606741573,0.6837215334156308,0.6777738407696944,0.6926677067082684,26,3.1538461538461537,emotions,0.6667,3
0.1797752808988764,0.348314606741573,0.7031305431853586,0.6899282811431541,0.7108433734939759,22,3.136363636363636,emotions,0.6667,4
