hamming_loss,subset_accuracy,weighted_f1,macro_f1,micro_f1,n_models,mean_subset_size,dataset,ideal_ratio,seed
0.2566585956416465,0.22033898305084745,0.7415174525583108,0.6779217782479614,0.7534883720930232,24,2.6666666666666665,flags,0.25,0
0.2324455205811138,0.2033898305084746,0.7534903742546576,0.6661083421650229,0.76,44,2.8636363636363638,flags,0.25,1
0.26634382566585957,0.22033898305084745,0.7092453001543911,0.6382532811104239,0.7277227722772277,15,2.1333333333333333,flags,0.25,2
0.2687651331719128,0.15254237288135594,0.7182694116607682,0.6167890186377581,0.7272727272727273,17,2.1176470588235294,flags,0.25,3
0.22518159806295399,0.2542372881355932,0.7537528596101636,0.6612580108218761,0.774818401937046,8,1.75,flags,0.25,4
0.25181598062953997,0.2033898305084746,0.7438890015372163,0.6657329404630069,0.7547169811320755,10,2.4,flags,0.3333,0
0.2397094430992736,0.1694915254237288,0.7506902373926339,0.6591438340778878,0.7567567567567568,10,2.5,flags,0.3333,1
0.2687651331719128,0.2033898305084746,0.7058820799600306,0.6210870635212741,0.7272727272727273,14,2.642857142857143,flags,0.3333,2
0.2639225181598063,0.2033898305084746,0.712109968063685,0.6161716737104479,0.72544080604534,25,2.68,flags,0.3333,3
0.24213075060532688,0.2711864406779661,0.7459233091645586,0.6524165055808367,0.7641509433962265,16,2.5,flags,0.3333,4
0.24939467312348668,0.23728813559322035,0.7528785308531059,0.6902309777900975,0.7621247113163973,17,2.9411764705882355,flags,0.5,0
0.23486682808716708,0.1864406779661017,0.7485101704282482,0.6567785105085279,0.7568922305764411,22,2.9545454545454546,flags,0.5,1
0.28329297820823246,0.2711864406779661,0.6908582643317782,0.6223975703475461,0.7096774193548387,25,3.28,flags,0.5,2
0.25907990314769974,0.2033898305084746,0.7152538504579321,0.6149453720882292,0.727735368956743,33,3.3636363636363638,flags,0.5,3
0.23728813559322035,0.2542372881355932,0.7433285167967547,0.6493583453418422,0.7632850241545893,23,2.869565217391304,flags,0.5,4
0.26634382566585957,0.2542372881355932,0.7304629965485799,0.6681524794584613,0.7405660377358491,20,3.6,flags,0.6667,0
0.24455205811138014,0.1864406779661017,0.7379029166276576,0.6502749662936586,0.7443037974683544,23,3.0,flags,0.6667,1
0.2687651331719128,0.288135593220339,0.7032781622375677,0.632378038254049,0.7231920199501247,26,3.6538461538461537,flags,0.6667,2
0.26634382566585957,0.1694915254237288,0.7063693584726072,0.609148117120588,0.7193877551020408,27,3.925925925925926,flags,0.6667,3
0.2542372881355932,0.2033898305084746,0.726743109995064,0.6363741376768494,0.7457627118644068,16,2.9375,flags,0.6667,4
