method,seed,runtime_sec,n_models,mean_subset_size,threshold,generations,n_rf_trainings,n_compensated,hamming_loss,subset_accuracy,weighted_f1,macro_f1,micro_f1,dataset,status
GALS,0,353.2715270000008,34.0,190.08823529411765,0.75,5.0,34.0,0.0,0.0102085561497326,0.0233333333333333,0.1298283655501746,0.0351939699355018,0.1689159773617762,corel5k,
BR,0,119.59241359999942,,,,,,,0.0092959001782531,0.002,0.0450712546053727,0.0078799212383245,0.0543970988213961,corel5k,
CC,0,124.69746700000178,,,,,,,0.0093065953654188,0.006,0.0483882826907112,0.0097325851302122,0.0574110850333995,corel5k,
LP,0,16.738384100000985,,,,,,,0.0154652406417112,0.0353333333333333,0.1489136330792011,0.0420890890623418,0.1668907240253505,corel5k,
RAkELD,0,69.88345710000067,,,,,,,0.0092994652406417,0.002,0.0460207248350512,0.0082931338647698,0.0554046713742531,corel5k,
RAkELO,0,19.47625920000064,34.0,,,,,,0.0093582887700534,0.0,0.0229932555709864,0.0012963020430808,0.0313653136531365,corel5k,
GALS,1,765.0823699000175,34.0,186.9705882352941,0.75,5.0,34.0,0.0,0.0102210338680926,0.024,0.1147124658083822,0.0306179646147565,0.1482471776589423,corel5k,
BR,1,343.15804569999455,,,,,,,0.0093511586452762,0.0013333333333333,0.0339975223082566,0.0053076252436025,0.0395459538630538,corel5k,
CC,1,283.169527399994,,,,,,,0.0093707664884135,0.0046666666666666,0.0381028504087085,0.0066615382242973,0.0443555717142337,corel5k,
LP,1,38.71252279999317,,,,,,,0.0157450980392156,0.034,0.1446459990513252,0.0406261892412751,0.1575584167858846,corel5k,
RAkELD,1,174.53944399999455,,,,,,,0.0093386809269162,0.0013333333333333,0.0361886763014997,0.0055340676831878,0.0427553444180522,corel5k,
RAkELO,1,45.89956229997915,34.0,,,,,,0.009392156862745,0.0,0.0003164957589568,0.0002970885323826,0.0003794346423828,corel5k,
GALS,2,599.5950404000178,34.0,188.4705882352941,0.75,5.0,34.0,0.0,0.0101354723707664,0.02,0.1273872230380188,0.031136731216514,0.1558788598574821,corel5k,
BR,2,281.7003884000005,,,,,,,0.009409982174688,0.002,0.0384407515230386,0.0051309579205514,0.0441788882853521,corel5k,
CC,2,285.22095839999383,,,,,,,0.0094527629233511,0.0053333333333333,0.0425783441061395,0.0072773546443916,0.0481062645844552,corel5k,
LP,2,32.63296570000239,,,,,,,0.0157254901960784,0.0333333333333333,0.1441523768441905,0.0370007213820885,0.1586877741750905,corel5k,
RAkELD,2,170.29413200001,,,,,,,0.0093939393939393,0.0013333333333333,0.0399271553042518,0.0059618102621317,0.0456356392611372,corel5k,
RAkELO,2,46.869819399988046,34.0,,,,,,0.009475935828877,0.0,0.00098126599668,0.0006975122064636,0.0011273957158962,corel5k,
ACkELO,0,290.3628970000136,34.0,,,,,,0.0093065953654188,0.0,0.0268125282327234,0.0031077424798333,0.0372487553014936,corel5k,
ACkELO,1,339.0661285999813,34.0,,,,,,0.0093778966131907,0.0,0.0050689120993901,0.0013028139713399,0.0052940064284363,corel5k,
ACkELO,2,319.65461289999075,34.0,,,,,,0.0094420677361853,0.0,0.027445587274646,0.0016560553292846,0.0342752962625341,corel5k,
ACkELD,2,43969.67555679998,,,,,,,0.0093868092691622,0.0026666666666666,0.0409517124985779,0.0066192878935866,0.0480838756326825,corel5k,
ACkELD,0,43986.16974019999,,,,,,,0.0092762923351158,0.0026666666666666,0.0484753780688538,0.0089820602095228,0.0589511754068716,corel5k,
ACkELD,1,44348.22555749997,,,,,,,0.009342245989304812,0.0006666666666666666,0.03408170423134146,0.005225301009330851,0.04028566196667277,corel5k,
