method,seed,runtime_sec,n_models,mean_subset_size,threshold,generations,n_rf_trainings,n_compensated,hamming_loss,subset_accuracy,weighted_f1,macro_f1,micro_f1,dataset
LP,9,0.0964117999992595,,,,,,,0.2832929782082324,0.2033898305084746,0.7005897308982608,0.6247025689143916,0.7125307125307125,flags
RAkELD,9,0.2547147999994195,,,,,,,0.2590799031476997,0.1186440677966101,0.7244068702746579,0.6357449231007666,0.7421686746987952,flags
RAkELO,9,1.7488730999994004,20.0,,,,,,0.2590799031476997,0.1864406779661017,0.7324703053965358,0.6537442563232191,0.7494145199063232,flags
ACkELD,9,0.1843798999998398,,,,,,,0.2687651331719128,0.1694915254237288,0.715243099709772,0.6326646491059466,0.7338129496402878,flags
ACkELO,9,1.8831798999999592,20.0,,,,,,0.288135593220339,0.1694915254237288,0.6468447166561698,0.5682178361293599,0.7159904534606205,flags
GALS,0,46.079649000001154,55.0,4.2,0.75,14.0,55.0,0.0,0.0684808612440191,0.562200956937799,0.5944770492294777,0.2427491830065359,0.6823855755894591,Gnegative
BR,0,3.056526500000473,,,,,,,0.0780502392344497,0.4473684210526316,0.5192168858617089,0.1853971318257032,0.5990783410138248,Gnegative
CC,0,3.100375799998801,,,,,,,0.0747607655502392,0.4736842105263157,0.5481038033688642,0.2113241848463523,0.6234939759036144,Gnegative
LP,0,0.5920989999995072,,,,,,,0.0771531100478468,0.6842105263157895,0.6586520538843821,0.3424195520021145,0.6978922716627635,Gnegative
RAkELD,0,1.41087829999924,,,,,,,0.0756578947368421,0.4784688995215311,0.5454798926425147,0.208448055827088,0.6251851851851852,Gnegative
RAkELO,0,25.42411029999857,55.0,,,,,,0.0684808612440191,0.5382775119617225,0.5791176865155493,0.2158307528034567,0.6723891273247496,Gnegative
ACkELD,0,1.6189890999994532,,,,,,,0.0720693779904306,0.5717703349282297,0.621857034756948,0.2796538496613698,0.6747638326585695,Gnegative
ACkELO,0,28.93823460000021,55.0,,,,,,0.0672846889952153,0.5813397129186603,0.6020815419472088,0.2456735430260767,0.6922024623803009,Gnegative
GALS,1,34.45161410000037,40.0,3.925,0.75,8.0,40.0,0.0,0.0795454545454545,0.5598086124401914,0.5524029533618363,0.2391457358531045,0.6462765957446809,Gnegative
BR,1,2.842024200001106,,,,,,,0.0807416267942583,0.4593301435406698,0.506496958474453,0.1969164362620787,0.5945945945945946,Gnegative
CC,1,2.8488106000004336,,,,,,,0.0816387559808612,0.4760765550239234,0.5182836879186461,0.2124191797079337,0.6014598540145986,Gnegative
LP,1,0.5256693999999698,,,,,,,0.0950956937799043,0.6148325358851675,0.5822690650462153,0.3343897540988939,0.6293706293706294,Gnegative
RAkELD,1,1.344575099999929,,,,,,,0.0786483253588516,0.4760765550239234,0.5229299855641207,0.209803353218624,0.6092124814264487,Gnegative
RAkELO,1,18.016810299999637,40.0,,,,,,0.0780502392344497,0.5430622009569378,0.5358518459536705,0.2093002295062541,0.6439290586630286,Gnegative
ACkELD,1,1.3059885000002396,,,,,,,0.0783492822966507,0.5119617224880383,0.5350383544519852,0.2123572888624667,0.6299435028248588,Gnegative
ACkELO,1,21.41363389999969,40.0,,,,,,0.0789473684210526,0.569377990430622,0.5493027037351637,0.226933240253544,0.6526315789473685,Gnegative
GALS,2,41.55792769999971,54.0,3.925925925925926,0.75,12.0,54.0,0.0,0.069377990430622,0.5789473684210527,0.6014013886478137,0.2385233087552675,0.6830601092896175,Gnegative
BR,2,2.792965999999069,,,,,,,0.0801435406698564,0.4449760765550239,0.5139361219371321,0.1778916263719395,0.5851393188854489,Gnegative
CC,2,2.846761499999048,,,,,,,0.075956937799043,0.4808612440191387,0.5413897165706574,0.1891746378027633,0.6186186186186187,Gnegative
LP,2,0.5034206000000268,,,,,,,0.0753588516746411,0.6889952153110048,0.6778773512526667,0.3556102189781039,0.704225352112676,Gnegative
RAkELD,2,1.30553990000044,,,,,,,0.0771531100478468,0.4784688995215311,0.5406387512560202,0.1939545555064131,0.6149253731343284,Gnegative
RAkELO,2,24.0142278000003,54.0,,,,,,0.0705741626794258,0.5382775119617225,0.5735676008345968,0.2017724064751752,0.66189111747851,Gnegative
ACkELD,2,1.4784424000008585,,,,,,,0.0708732057416268,0.5717703349282297,0.6204062285462959,0.2981121627334097,0.6766712141882674,Gnegative
ACkELO,2,27.77583489999961,54.0,,,,,,0.069078947368421,0.5765550239234449,0.5926076634127596,0.2199153787389081,0.6822558459422283,Gnegative
GALS,3,27.54152950000025,36.0,3.7777777777777777,0.75,7.0,36.0,0.0,0.0801435406698564,0.5454545454545454,0.5546301000914478,0.2486314691234079,0.6417112299465241,Gnegative
BR,3,2.7798146000004635,,,,,,,0.0822368421052631,0.4401913875598086,0.5053383405186436,0.2045087898915834,0.582701062215478,Gnegative
CC,3,2.724161000000094,,,,,,,0.083133971291866,0.4473684210526316,0.5101409966341428,0.2091041907671463,0.5863095238095238,Gnegative
LP,3,0.5529832000011083,,,,,,,0.089712918660287,0.6267942583732058,0.6164928377943426,0.3371177894231653,0.6503496503496503,Gnegative
RAkELD,3,1.2937728999986575,,,,,,,0.0786483253588516,0.5,0.5364994310116262,0.223278810169054,0.6226685796269728,Gnegative
RAkELO,3,16.394155100000717,36.0,,,,,,0.0765550239234449,0.5215311004784688,0.5416948227923838,0.2207542908762421,0.6414565826330533,Gnegative
ACkELD,3,1.4623061999991478,,,,,,,0.0810406698564593,0.5358851674641149,0.5774166710984705,0.2781747994852529,0.6372155287817939,Gnegative
ACkELO,3,19.065389600000344,36.0,,,,,,0.0783492822966507,0.5430622009569378,0.5553308716939707,0.240628452688095,0.6478494623655914,Gnegative
GALS,4,23.943850100000414,31.0,4.096774193548387,0.75,5.0,31.0,0.0,0.0771531100478468,0.5741626794258373,0.5659088295602985,0.237288600471684,0.6596306068601583,Gnegative
BR,4,2.580259100001058,,,,,,,0.0789473684210526,0.4497607655502392,0.5144674715508988,0.1973370874407772,0.5938461538461538,Gnegative
CC,4,2.628312800001368,,,,,,,0.0780502392344497,0.4569377990430622,0.5229506746474892,0.1996062088238248,0.6027397260273972,Gnegative
LP,4,0.4977110999989236,,,,,,,0.0798444976076555,0.6746411483253588,0.6529264268123425,0.4000497741130182,0.6884480746791132,Gnegative
RAkELD,4,1.262428100000761,,,,,,,0.0750598086124401,0.569377990430622,0.5645054354871567,0.2289295392953929,0.664886515353805,Gnegative
