method,seed,runtime_sec,n_models,mean_subset_size,threshold,generations,n_rf_trainings,n_compensated,hamming_loss,subset_accuracy,weighted_f1,macro_f1,micro_f1,dataset
ACkELD,7,47.09545630000139,,,,,,,0.1475983862373449,0.0,0.2615987267272957,0.0903878430553447,0.3395776566757493,cal500
ACkELO,7,14.356534000002284,52.0,,,,,,0.150376798355789,0.0,0.1733900019973014,0.0558889137607159,0.2616333395626986,cal500
GALS,8,201.71531680000044,34.0,85.17647058823529,0.75,5.0,34.0,0.0,0.1971911395295729,0.0,0.3239294543239685,0.1443266796480054,0.3272302298402805,cal500
BR,8,22.624849499999986,,,,,,,0.1410519905610109,0.0,0.2315159544208288,0.0678829780256844,0.3259367042560931,cal500
CC,8,21.437984600001077,,,,,,,0.1411661718809469,0.0,0.2227900986237211,0.0666694821250156,0.3255137297690489,cal500
LP,8,4.313532100000884,,,,,,,0.198637436248763,0.0,0.3213046461600642,0.1420533571661268,0.3231746855142005,cal500
RAkELD,8,9.641237799998637,,,,,,,0.1412422927609043,0.0,0.2419720694927273,0.0718486249260035,0.3376762448688202,cal500
RAkELO,8,6.134939100000338,34.0,,,,,,0.1445916114790287,0.0,0.1512732054793627,0.0440087177890413,0.2332996972754793,cal500
ACkELD,8,47.24512699999832,,,,,,,0.1423460455202862,0.0,0.2628744958984098,0.083186885513596,0.3549499827526733,cal500
ACkELO,8,9.402526300000318,34.0,,,,,,0.1525462434345741,0.0,0.092944676702948,0.0343460814366163,0.1354616048317515,cal500
GALS,9,196.96878659999857,34.0,86.82352941176471,0.75,5.0,34.0,0.0,0.2008068813275481,0.0,0.3132191836349455,0.1365266411906784,0.3164032132676859,cal500
BR,9,23.08798490000117,,,,,,,0.1393012103219913,0.0,0.2467903477959103,0.0754795091076765,0.3407780979827089,cal500
CC,9,21.60576439999932,,,,,,,0.1384638806424602,0.0,0.2196119392019778,0.0647719673979497,0.3247958426132145,cal500
LP,9,4.090073699997447,,,,,,,0.2022912384867169,0.0,0.3090238580275443,0.134693950581236,0.3116176661054267,cal500
RAkELD,9,9.859517400000186,,,,,,,0.1388825454822257,0.0,0.2587226088316082,0.0814999578452129,0.3528994502571378,cal500
RAkELO,9,5.744126800000231,34.0,,,,,,0.1471036005176219,0.0,0.0919763500280251,0.0315652841903521,0.1488658885707993,cal500
ACkELD,9,46.6800731000003,,,,,,,0.1435259191596254,0.0,0.2741393672083995,0.0905960002628008,0.358127659574468,cal500
ACkELO,9,9.668005400002585,34.0,,,,,,0.1486260181167694,0.0,0.0612004586278436,0.0224510114978595,0.0979440979440979,cal500
