hamming_loss,subset_accuracy,weighted_f1,macro_f1,micro_f1,n_models,mean_subset_size,dataset,alpha,seed
0.16292134831460675,0.398876404494382,0.7288319358967593,0.7278451548411465,0.7363636363636363,18,2.8333333333333335,emotions,0.8,0
0.18071161048689138,0.3707865168539326,0.6907255314413163,0.6780906092437161,0.7017001545595054,24,3.1666666666666665,emotions,0.8,1
0.16760299625468164,0.39325842696629215,0.7008858166187673,0.6846290670760884,0.7126805778491172,22,2.772727272727273,emotions,0.8,2
0.1760299625468165,0.3595505617977528,0.6877860653857663,0.6800607310247457,0.7044025157232704,29,2.8275862068965516,emotions,0.8,3
0.1694756554307116,0.37640449438202245,0.7100355006041371,0.6982736478831298,0.7167449139280125,19,2.8421052631578947,emotions,0.8,4
0.16292134831460675,0.39325842696629215,0.7311802081032851,0.7310024310024309,0.7387387387387387,20,2.85,emotions,0.9,0
0.17883895131086142,0.34269662921348315,0.6842160307539339,0.6734582543806836,0.6992125984251969,31,2.806451612903226,emotions,0.9,1
0.1704119850187266,0.37640449438202245,0.7131337999745205,0.6973326909325599,0.7165109034267912,23,2.782608695652174,emotions,0.9,2
0.17790262172284643,0.37640449438202245,0.6921424498085872,0.687316199309068,0.7021943573667712,31,2.774193548387097,emotions,0.9,3
0.17415730337078653,0.3707865168539326,0.7017246246389631,0.6892594899291536,0.7102803738317757,21,2.9047619047619047,emotions,0.9,4
0.17228464419475656,0.398876404494382,0.7189321937265114,0.718751514338943,0.7245508982035929,33,2.9393939393939394,emotions,1.0,0
0.17883895131086142,0.3651685393258427,0.690092188790721,0.6769409297186108,0.7020280811232449,30,2.9,emotions,1.0,1
0.1694756554307116,0.38764044943820225,0.7159863919885929,0.7034439337819527,0.7193798449612403,29,3.0,emotions,1.0,2
0.17696629213483145,0.3651685393258427,0.6892485233938836,0.6848509605862548,0.7004754358161648,34,2.5294117647058822,emotions,1.0,3
0.1704119850187266,0.3595505617977528,0.7069158520325937,0.6951616562410253,0.7147335423197492,27,2.6666666666666665,emotions,1.0,4
0.26634382566585957,0.2033898305084746,0.7298565662460711,0.6671844587844207,0.7405660377358491,23,3.5652173913043477,flags,0.8,0
0.23728813559322035,0.22033898305084745,0.7466689001418093,0.6602185786965287,0.7537688442211056,27,3.2222222222222223,flags,0.8,1
0.2736077481840194,0.2711864406779661,0.7015428893632618,0.6448396247508595,0.7182044887780549,18,3.5,flags,0.8,2
0.28329297820823246,0.1016949152542373,0.6995243536126438,0.6017130713551488,0.7096774193548387,13,3.3846153846153846,flags,0.8,3
0.2469733656174334,0.2711864406779661,0.7311393149627206,0.6385980150097972,0.7536231884057971,15,3.1333333333333333,flags,0.8,4
0.24939467312348668,0.23728813559322035,0.7528785308531059,0.6902309777900975,0.7621247113163973,17,2.9411764705882355,flags,0.9,0
0.23486682808716708,0.1864406779661017,0.7485101704282482,0.6567785105085279,0.7568922305764411,22,2.9545454545454546,flags,0.9,1
0.28329297820823246,0.2711864406779661,0.6908582643317782,0.6223975703475461,0.7096774193548387,25,3.28,flags,0.9,2
0.25907990314769974,0.2033898305084746,0.7152538504579321,0.6149453720882292,0.727735368956743,33,3.3636363636363638,flags,0.9,3
0.23728813559322035,0.2542372881355932,0.7433285167967547,0.6493583453418422,0.7632850241545893,23,2.869565217391304,flags,0.9,4
0.2542372881355932,0.2542372881355932,0.7455275671858186,0.683360619613989,0.7552447552447552,25,2.96,flags,1.0,0
0.22760290556900725,0.2033898305084746,0.7594758643876091,0.6667251507575005,0.7673267326732673,15,2.7333333333333334,flags,1.0,1
0.2687651331719128,0.3050847457627119,0.7037782988301298,0.6343287344928034,0.7231920199501247,26,3.4615384615384617,flags,1.0,2
0.2639225181598063,0.15254237288135594,0.706858239879888,0.6058049227591613,0.7212276214833759,62,3.3870967741935485,flags,1.0,3
0.23486682808716708,0.23728813559322035,0.7496622605337014,0.6555918571619532,0.7684964200477327,22,2.6818181818181817,flags,1.0,4
0.06788277511961723,0.5717703349282297,0.5996021459324212,0.24940417690417688,0.687757909215956,48,4.3125,Gnegative,0.8,0
0.07924641148325359,0.5598086124401914,0.5551418145463941,0.24355994143405504,0.6471371504660453,38,4.105263157894737,Gnegative,0.8,1
0.06608851674641149,0.6148325358851675,0.6470845595810801,0.2980737383421947,0.7065073041168659,31,4.096774193548387,Gnegative,0.8,2
0.08163875598086125,0.5382775119617225,0.5468250538217467,0.24290094293194747,0.6335570469798658,36,3.9166666666666665,Gnegative,0.8,3
0.08074162679425838,0.5813397129186603,0.565041960119706,0.24284166920036482,0.6520618556701031,28,4.0,Gnegative,0.8,4
0.06848086124401914,0.562200956937799,0.5944770492294777,0.24274918300653595,0.6823855755894591,55,4.2,Gnegative,0.9,0
0.07954545454545454,0.5598086124401914,0.5524029533618363,0.23914573585310459,0.6462765957446809,40,3.925,Gnegative,0.9,1
0.06937799043062201,0.5789473684210527,0.6014013886478137,0.23852330875526753,0.6830601092896175,54,3.925925925925926,Gnegative,0.9,2
0.08014354066985646,0.5454545454545454,0.5546301000914478,0.24863146912340792,0.6417112299465241,36,3.7777777777777777,Gnegative,0.9,3
0.07715311004784689,0.5741626794258373,0.5659088295602985,0.237288600471684,0.6596306068601583,31,4.096774193548387,Gnegative,0.9,4
0.07027511961722488,0.5885167464114832,0.5974674480947215,0.25050644059439664,0.6862483311081442,37,4.324324324324325,Gnegative,1.0,0
0.08492822966507177,0.5669856459330144,0.5498670617948601,0.24379161515140418,0.6349614395886889,27,4.444444444444445,Gnegative,1.0,1
0.07206937799043062,0.5956937799043063,0.6063660904775222,0.25177704564430603,0.6816380449141347,48,3.4791666666666665,Gnegative,1.0,2
0.07834928229665072,0.4904306220095694,0.5286516882969211,0.21081594557204314,0.622478386167147,37,2.8378378378378377,Gnegative,1.0,3
0.07236842105263158,0.5239234449760766,0.5664910721738035,0.23782185212789392,0.6512968299711815,47,3.3404255319148937,Gnegative,1.0,4
0.14583333333333334,0.6538461538461539,0.6671424729820293,0.5010679771579178,0.6976744186046512,8,2.25,Gpositive,0.8,0
0.16506410256410256,0.6410256410256411,0.6349045396622873,0.4946372182825385,0.6622950819672131,11,2.090909090909091,Gpositive,0.8,1
0.14262820512820512,0.6602564102564102,0.6668867663393097,0.48633636687172704,0.7023411371237458,12,2.0,Gpositive,0.8,2
0.12980769230769232,0.717948717948718,0.7069002123142251,0.5541666666666667,0.7361563517915309,12,2.0833333333333335,Gpositive,0.8,3
0.13942307692307693,0.6538461538461539,0.6851585672132088,0.5180309845077461,0.7030716723549488,11,2.0,Gpositive,0.8,4
0.14102564102564102,0.6474358974358975,0.6643993261640321,0.4932200152788388,0.6986301369863014,10,2.0,Gpositive,0.9,0
0.16506410256410256,0.6410256410256411,0.6349045396622873,0.4946372182825385,0.6622950819672131,13,1.9230769230769231,Gpositive,0.9,1
0.14583333333333334,0.6602564102564102,0.6637804125254086,0.4844934181537784,0.6996699669966997,11,2.0,Gpositive,0.9,2
0.1266025641025641,0.7243589743589743,0.7110965405270389,0.556781045751634,0.740983606557377,13,2.230769230769231,Gpositive,0.9,3
0.13141025641025642,0.6923076923076923,0.7105402339779794,0.5403295075897816,0.7266666666666667,11,2.0,Gpositive,0.9,4
0.15224358974358973,0.6538461538461539,0.6510927267701531,0.48888960548250193,0.6822742474916388,13,2.1538461538461537,Gpositive,1.0,0
0.16346153846153846,0.6410256410256411,0.6372688288541082,0.49716125674407696,0.6644736842105263,14,2.0714285714285716,Gpositive,1.0,1
0.13782051282051283,0.7051282051282052,0.6939366371334776,0.510063630008093,0.7225806451612903,13,2.230769230769231,Gpositive,1.0,2
0.125,0.7051282051282052,0.703926373745007,0.5467090395480226,0.738255033557047,14,2.0714285714285716,Gpositive,1.0,3
0.12980769230769232,0.7051282051282052,0.7149214237052693,0.5430590583325773,0.7326732673267327,12,2.1666666666666665,Gpositive,1.0,4
0.08815192743764172,0.13945578231292516,0.16754955570745045,0.07421964000911369,0.22055137844611528,62,6.338709677419355,Plant,0.8,0
0.09410430839002268,0.14625850340136054,0.1443850267379679,0.05659536541889484,0.20952380952380953,49,5.959183673469388,Plant,0.8,1
0.0873015873015873,0.08503401360544217,0.11876253778669354,0.03950169327527819,0.13966480446927373,52,5.6923076923076925,Plant,0.8,2
0.08843537414965986,0.11224489795918367,0.14768206669887096,0.048778348028249326,0.17894736842105263,32,5.90625,Plant,0.8,3
0.08219954648526077,0.13945578231292516,0.18025278038456163,0.05841170323928945,0.22043010752688172,47,6.127659574468085,Plant,0.8,4
0.09070294784580499,0.14625850340136054,0.16272959183673472,0.07074829931972788,0.22330097087378642,42,5.880952380952381,Plant,0.9,0
0.09325396825396826,0.14625850340136054,0.1479929269667841,0.05924510272336359,0.21103117505995203,51,6.2745098039215685,Plant,0.9,1
0.08815192743764172,0.11564625850340136,0.1515845704759055,0.05401086609140301,0.1837270341207349,41,5.878048780487805,Plant,0.9,2
0.08701814058956917,0.16326530612244897,0.1887127287338233,0.06296495956873316,0.2457002457002457,32,6.03125,Plant,0.9,3
0.08361678004535147,0.12244897959183673,0.16368599553312926,0.05389610389610389,0.19618528610354224,43,5.8604651162790695,Plant,0.9,4
0.09070294784580499,0.15306122448979592,0.1670377141139938,0.07285719055728071,0.23076923076923078,34,5.676470588235294,Plant,1.0,0
0.0949546485260771,0.1870748299319728,0.1635664149360738,0.06388433141919607,0.2505592841163311,41,6.219512195121951,Plant,1.0,1
0.08673469387755102,0.14625850340136054,0.17746783718176334,0.06230838095311491,0.2193877551020408,31,5.67741935483871,Plant,1.0,2
0.08786848072562359,0.1564625850340136,0.17975502758111453,0.05900349650349651,0.23645320197044334,32,5.96875,Plant,1.0,3
0.08361678004535147,0.11224489795918367,0.1520276286275951,0.047858421704999314,0.18282548476454294,34,6.088235294117647,Plant,1.0,4
0.07745504840940526,0.6749654218533887,0.7547653636056006,0.7678271779951054,0.7647058823529411,24,2.9583333333333335,scene,0.8,0
0.0756108805901337,0.690179806362379,0.7602898698560868,0.7742454252470782,0.7667140825035562,23,2.782608695652174,scene,0.8,1
0.07814661134163209,0.6874135546334716,0.7580909831066569,0.7692207464132771,0.7624386825508059,33,3.0303030303030303,scene,0.8,2
0.07952973720608575,0.6625172890733056,0.7481602117547569,0.7543337660933119,0.753042233357194,27,2.740740740740741,scene,0.8,3
0.07814661134163209,0.6887966804979253,0.7599620967834486,0.7713894191912597,0.7634333565945569,31,3.064516129032258,scene,0.8,4
0.07514983863531581,0.686030428769018,0.7632260281607116,0.7763020068836202,0.7729805013927576,25,3.2,scene,0.9,0
0.0776855693868142,0.6749654218533887,0.7553845344801249,0.7690084658099532,0.759800427655025,26,2.5384615384615383,scene,0.9,1
0.07653296449976948,0.6874135546334716,0.7627375771611413,0.7723239802879144,0.7665260196905767,24,3.0416666666666665,scene,0.9,2
0.0818349469801752,0.6846473029045643,0.7496384554653707,0.755314039410532,0.7529575504523313,23,3.260869565217391,scene,0.9,3
0.0792992162286768,0.6874135546334716,0.7560500302408983,0.7674510336361126,0.7594405594405594,27,3.0,scene,0.9,4
0.07284462886122638,0.7012448132780082,0.7741760617298004,0.7852803064822448,0.7811634349030471,30,3.033333333333333,scene,1.0,0
0.07607192254495158,0.6708160442600276,0.7529782845795959,0.7671589900370329,0.7615606936416185,32,2.84375,scene,1.0,1
0.07676348547717843,0.6721991701244814,0.7565090103848472,0.766366513797729,0.7623126338329764,32,2.84375,scene,1.0,2
0.08367911479944674,0.6708160442600276,0.7414871675548768,0.7476734203963588,0.7452631578947368,24,2.7916666666666665,scene,1.0,3
0.07745504840940526,0.6984785615491009,0.762938932864458,0.7744603229131771,0.7669902912621359,25,3.2,scene,1.0,4
0.1994293585202676,0.22865013774104684,0.5908535401165991,0.39147148622140787,0.652255961571453,61,7.0,yeast,0.8,0
0.19382133018496656,0.256198347107438,0.6033065272131861,0.39217685201047986,0.6676788124156545,44,7.136363636363637,yeast,0.8,1
0.19254230617866983,0.2465564738292011,0.6041759161636583,0.40245171452621264,0.6686981547316743,57,6.87719298245614,yeast,0.8,2
0.19962613144431327,0.24242424242424243,0.5981759231477699,0.4083571140340617,0.6614383447355248,34,6.588235294117647,yeast,0.8,3
0.19844549390003935,0.24517906336088155,0.591741059333474,0.38890070020262435,0.6574970283579555,41,6.7073170731707314,yeast,0.8,4
0.1974616292798111,0.2231404958677686,0.5922363924944993,0.39322024096058017,0.6543826416394007,59,6.3559322033898304,yeast,0.9,0
0.1929358520267611,0.25068870523415976,0.604568833853535,0.3910992659797122,0.6700319703853272,46,7.108695652173913,yeast,0.9,1
0.19451003541912631,0.23415977961432508,0.5981553456175959,0.396727577530052,0.6624551818337032,65,5.446153846153846,yeast,0.9,2
0.2001180637544274,0.24793388429752067,0.5967139952391504,0.4059543706529428,0.6611129623458847,34,6.794117647058823,yeast,0.9,3
0.2002164502164502,0.24242424242424243,0.5884971066951934,0.3841100864001256,0.6565400843881857,33,6.393939393939394,yeast,0.9,4
0.19657615112160567,0.22589531680440772,0.5840766575961748,0.3785784336839023,0.651430565247732,106,5.4245283018867925,yeast,1.0,0
0.190181031090122,0.24793388429752067,0.5992816367517921,0.3891083375800445,0.6641181581233709,82,4.670731707317073,yeast,1.0,1
0.19077134986225897,0.21074380165289255,0.5860617281273056,0.38002850174323377,0.6568748894001062,74,3.918918918918919,yeast,1.0,2
0.19411648957103503,0.2162534435261708,0.5812500374473766,0.38757652086595223,0.6523348017621146,101,4.742574257425742,yeast,1.0,3
0.19470680834317197,0.22727272727272727,0.5859325589833994,0.3793783280803325,0.6558859328812381,66,4.2727272727272725,yeast,1.0,4
